,Series_Title,IMDB_Rating
0,The Shawshank Redemption,9.3
1,The Godfather,9.2
2,The Dark Knight,9.0
3,The Godfather: Part II,9.0
4,12 Angry Men,9.0
5,The Lord of the Rings: The Return of the King,8.9
6,Pulp Fiction,8.9
7,Schindler's List,8.9
8,Inception,8.8
9,Fight Club,8.8
10,The Lord of the Rings: The Fellowship of the Ring,8.8
11,Forrest Gump,8.8
12,"Il buono, il brutto, il cattivo",8.8
13,The Lord of the Rings: The Two Towers,8.7
14,The Matrix,8.7
15,Goodfellas,8.7
16,Star Wars: Episode V - The Empire Strikes Back,8.7
17,One Flew Over the Cuckoo's Nest,8.7
18,Hamilton,8.6
19,Gisaengchung,8.6
20,Soorarai Pottru,8.6
21,Interstellar,8.6
22,Cidade de Deus,8.6
23,Sen to Chihiro no kamikakushi,8.6
24,Saving Private Ryan,8.6
25,The Green Mile,8.6
26,La vita è bella,8.6
27,Se7en,8.6
28,The Silence of the Lambs,8.6
29,Star Wars,8.6
30,Seppuku,8.6
31,Shichinin no samurai,8.6
32,It's a Wonderful Life,8.6
33,Joker,8.5
34,Whiplash,8.5
35,The Intouchables,8.5
36,The Prestige,8.5
37,The Departed,8.5
38,The Pianist,8.5
39,Gladiator,8.5
40,American History X,8.5
41,The Usual Suspects,8.5
42,Léon,8.5
43,The Lion King,8.5
44,Terminator 2: Judgment Day,8.5
45,Nuovo Cinema Paradiso,8.5
46,Hotaru no haka,8.5
47,Back to the Future,8.5
48,Once Upon a Time in the West,8.5
49,Psycho,8.5
50,Casablanca,8.5
51,Modern Times,8.5
52,City Lights,8.5
53,Capharnaüm,8.4
54,Ayla: The Daughter of War,8.4
55,Vikram Vedha,8.4
56,Kimi no na wa.,8.4
57,Dangal,8.4
58,Spider-Man: Into the Spider-Verse,8.4
59,Avengers: Endgame,8.4
60,Avengers: Infinity War,8.4
61,Coco,8.4
62,Django Unchained,8.4
63,The Dark Knight Rises,8.4
64,3 Idiots,8.4
65,Taare Zameen Par,8.4
66,WALL·E,8.4
67,The Lives of Others,8.4
68,Oldeuboi,8.4
69,Memento,8.4
70,Mononoke-hime,8.4
71,Once Upon a Time in America,8.4
72,Raiders of the Lost Ark,8.4
73,The Shining,8.4
74,Apocalypse Now,8.4
75,Alien,8.4
76,Anand,8.4
77,Tengoku to jigoku,8.4
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
79,Witness for the Prosecution,8.4
80,Paths of Glory,8.4
81,Rear Window,8.4
82,Sunset Blvd.,8.4
83,The Great Dictator,8.4
84,1917,8.3
85,Tumbbad,8.3
86,Andhadhun,8.3
87,Drishyam,8.3
88,Jagten,8.3
89,Jodaeiye Nader az Simin,8.3
90,Incendies,8.3
91,Miracle in cell NO.7,8.3
92,Babam ve Oglum,8.3
93,Inglourious Basterds,8.3
94,Eternal Sunshine of the Spotless Mind,8.3
95,Amélie,8.3
96,Snatch,8.3
97,Requiem for a Dream,8.3
98,American Beauty,8.3
99,Good Will Hunting,8.3
100,Bacheha-Ye aseman,8.3
101,Toy Story,8.3
102,Braveheart,8.3
103,Reservoir Dogs,8.3
104,Full Metal Jacket,8.3
105,Idi i smotri,8.3
106,Aliens,8.3
107,Amadeus,8.3
108,Scarface,8.3
109,Star Wars: Episode VI - Return of the Jedi,8.3
110,Das Boot,8.3
111,Taxi Driver,8.3
112,The Sting,8.3
113,A Clockwork Orange,8.3
114,2001: A Space Odyssey,8.3
